timestamp,asset,mode,signal,confidence,amount,result,pnl,state_key
2026-05-26 20:30:17,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SM|30BL|60NL
2026-05-26 20:30:25,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SM|30BL|60NL
2026-05-26 20:30:33,EUR/USD OTC,ftt,SELL,0.5614,200.0,WIN,164.0000,5NL|15SM|30NL|60NL
2026-05-26 20:30:40,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5BL|15SM|30NL|60NL
2026-05-26 20:30:48,EUR/USD OTC,ftt,SELL,0.6093,200.0,WIN,164.0000,5NL|15SM|30NL|60NL
2026-05-26 20:31:01,EUR/USD OTC,ftt,SELL,0.5614,200.0,LOSS,-200.0000,5NL|15SM|30NL|60NL
2026-05-26 20:31:09,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SM|30NL|60BL
2026-05-26 20:31:16,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SM|30NL|60BL
2026-05-26 20:31:24,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5BL|15SM|30NL|60NL
2026-05-26 20:31:32,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5BL|15SM|30NL|60NL
2026-05-26 20:31:40,EUR/USD OTC,ftt,BUY,0.9124,200.0,WIN,164.0000,5BL|15SM|30NL|60BL
2026-05-26 20:31:47,EUR/USD OTC,ftt,SELL,0.5610,200.0,LOSS,-200.0000,5NL|15SL|30SL|60NL
2026-05-26 20:31:55,EUR/USD OTC,ftt,SELL,0.5610,200.0,LOSS,-200.0000,5NL|15SL|30SL|60NL
2026-05-26 20:32:03,EUR/USD OTC,ftt,SELL,0.5000,200.0,LOSS,-200.0000,5NL|15NL|30SL|60NL
2026-05-26 20:32:10,EUR/USD OTC,ftt,SELL,0.5000,200.0,LOSS,-200.0000,5NL|15NL|30SL|60NL
2026-05-26 20:32:18,EUR/USD OTC,ftt,SELL,0.5610,200.0,WIN,164.0000,5SL|15NL|30SM|60SL
2026-05-26 20:32:25,EUR/USD OTC,ftt,SELL,0.6324,200.0,WIN,164.0000,5SL|15NL|30SM|60SL
2026-05-26 20:32:32,EUR/USD OTC,ftt,SELL,0.6256,200.0,LOSS,-200.0000,5NL|15NL|30SL|60SL
2026-05-26 20:32:39,EUR/USD OTC,ftt,SELL,0.5646,200.0,WIN,164.0000,5SL|15NL|30SM|60SL
2026-05-26 20:32:46,EUR/USD OTC,ftt,SELL,0.5646,200.0,WIN,164.0000,5SL|15NL|30SM|60SL
2026-05-26 20:32:53,EUR/USD OTC,ftt,SELL,0.6324,200.0,WIN,164.0000,5NL|15NL|30SM|60SL
2026-05-26 20:32:59,EUR/USD OTC,ftt,SELL,0.5854,200.0,WIN,164.0000,5NL|15NL|30SM|60SL
2026-05-26 20:33:06,EUR/USD OTC,ftt,SELL,0.6432,200.0,LOSS,-200.0000,5NL|15NL|30SL|60SL
2026-05-26 20:33:13,EUR/USD OTC,ftt,SELL,0.6324,200.0,WIN,164.0000,5NL|15NL|30SM|60SL
2026-05-26 20:33:20,EUR/USD OTC,ftt,SELL,0.6324,200.0,LOSS,-200.0000,5NL|15NL|30SM|60SL
